C00267, alpha-D-Glucose
C04556, 4-Amino-2-methyl-5-phosphooxymethylpyrimidine
C04752, 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate
C01081, Thiamin monophosphate
C00068, Thiamin diphosphate
C17554, 3,4-Dihydroxy-5-polyprenylbenzoate
C17559, 3-Methoxy-4-hydroxy-5-polyprenylbenzoate
C17561, 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C17562, 2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C00399, Ubiquinone
C00103, D-Glucose 1-phosphate
C01040, L-Gulono-1,4-lactone
C01277, 1-Phosphatidyl-1D-myo-inositol 4-phosphate
C04637, 1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate
C01245, D-myo-Inositol 1,4,5-trisphosphate
C01272, 1D-myo-Inositol 1,3,4,5-tetrakisphosphate
C01243, 1D-myo-Inositol 1,3,4-trisphosphate
C04063, D-myo-Inositol 3,4-bisphosphate
C04006, 1D-myo-Inositol 3-phosphate
C00137, myo-Inositol
C04477, 1D-myo-Inositol 1,3,4,6-tetrakisphosphate
C01284, 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
C01204, myo-Inositol hexakisphosphate
C00179, Agmatine
C00134, Putrescine
C00315, Spermidine
C02714, N-Acetylputrescine
C05936, N4-Acetylaminobutanal
C02946, 4-Acetamidobutanoate
C15699, gamma-L-Glutamylputrecine
C15700, gamma-Glutamyl-gamma-aminobutyraldehyde
C15767, gamma-Glutamyl-gamma-aminobutyraye
C06561, Naringenin chalcone
C00509, Naringenin
C00974, Dihydrokaempferol
C03648, cis-3,4-Leucopelargonidin
C05904, Pelargonidin
C00143, 5,10-Methylenetetrahydrofolate
C00445, 5,10-Methenyltetrahydrofolate
C00234, 10-Formyltetrahydrofolate
C00004, NADH
C00080, H+
C15602, Quinone
C15603, Hydroquinone
C00125, Ferricytochrome c
C00126, Ferrocytochrome c
C00009, Orthophosphate
C00001, H2O
C02061, Plastoquinone
C16693, Plastoquinol
C00007, Oxygen
C03162, Oxidized plastocyanin
C03025, Reduced plastocyanin
C00139, Oxidized ferredoxin
C00138, Reduced ferredoxin
C01182, D-Ribulose 1,5-bisphosphate
C00011, CO2
C00447, Sedoheptulose 1,7-bisphosphate
C00041, L-Alanine
C00566, 3S-Citryl-CoA
C01438, Methane
C00132, Methanol
C00067, Formaldehyde
C00697, Nitrogen
C00014, Ammonia
C00059, Sulfate
C00224, Adenylyl sulfate
C00053, "3-Phosphoadenylyl sulfate"
C00094, Sulfite
C05125, 2-alpha-Hydroxyethylthiamine diphosphate
C16255, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
C00257, D-Gluconic acid
C00577, D-Glyceraldehyde
C00880, D-Galactonate
C01216, 2-Dehydro-3-deoxy-D-galactonate
C00258, D-Glycerate
C00184, Glycerone
C06019, D-arabino-Hex-3-ulose 6-phosphate
C00037, Glycine
C00168, Hydroxypyruvate
C04348, 3S-3-Carboxy-3-hydroxypropanoyl-CoA
C03920, 2-Methylthioethanesulfonate
C04628, Coenzyme B
C04832, Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide
C00033, Acetate
C00227, Acetyl phosphate
C04488, 5-Methyl-5,6,7,8-tetrahydromethanopterin
C03576, Coenzyme M
C11536, 2R-O-Phospho-3-sulfolactate
C11537, 2R-3-Sulfolactate
C05528, 3-Sulfopyruvate
C00593, Sulfoacetaldehyde
C03576, 2-Mercaptoethanesulfonate
C01234, 1-Aminocyclopropane-1-carboxylate
C06547, Ethylene
C03004, N-Hydroxy-L-tyrosine
C15503, N,N-Dihydroxy-L-tyrosine
C04350, E-4-Hydroxyphenylacetaldehyde oxime
C03742, S-4-Hydroxymandelonitrile
C05143, Dhurrin
C02937, Indole-3-acetaldehyde oxime
C16518, S-Indolylmethylthiohydroximoyl-L-cysteine
C16516, Indolylmethylthiohydroximate
C16517, Indolylmethyl-desulfoglucosinolate
C05837, Glucobrassicin
C01789, Campesterol
C15795, 22alpha-Hydroxy-campesterol
C15796, 22alpha-Hydroxy-campest-4-en-3-one
C15797, 22alpha-Hydroxy-5alpha-campestan-3-one
C15800, 3-Dehydro-6-deoxoteasterone
C15801, 6-Deoxotyphasterol
C15802, 6-Deoxocastasterone
C15803, 6alpha-Hydroxy-castasterone
C15794, Castasterone
C08591, beta-Cryptoxanthin
C06098, Zeaxanthin
C08579, Antheraxanthin
C08614, Violaxanthin
C13433, 9-cis-Violaxanthin
C13453, Xanthoxin
C08606, Neoxanthin
C13431, "9-cis-Neoxanthin"
C13455, Abscisic aldehyde
C06082, Abscisate
C03561, R-3-Hydroxybutanoyl-CoA
C18026, 2S-Ethylmalonyl-CoA
C20238, 2R-Ethylmalonyl-CoA
C18324, 2S-Methylsuccinyl-CoA
C06028, 2-Methylfumaryl-CoA
C06027, L-erythro-3-Methylmalyl-CoA
C04348, L-Malyl-CoA
C00683, S-Methylmalonyl-CoA
C01213, R-Methylmalonyl-CoA
C00989, 4-Hydroxybutanoic acid
C11062, 4-Hydroxybutyryl-CoA
C06028, Mesaconyl-CoA
C18323, Mesaconyl-C4-CoA
C01011, 3S-Citramalyl-CoA
C00237, CO
C00058, Formate
C00440, 5-Methyltetrahydrofolate
C21971, 5-Amino-5-4-hydroxybenzyl-6-D-ribitylimino-5,6-dihydrouracil
C19154, 7,8-Didemethyl-8-hydroxy-5-deazariboflavin
C19156, 2S-2-Phospholactate
C19155, "2S-Lactyl-2-diphospho-5-guanosine"
C19153, Coenzyme F420-0
C19152, Coenzyme F420-1
C00876, Coenzyme F420
C01455, Toluene
C09816, Benzylsuccinate
C09817, Benzylsuccinyl-CoA
C09818, E-Phenylitaconyl-CoA
C09819, Hydroxymethylphenylsuccinyl-CoA
C09820, Benzoylsuccinyl-CoA
C00512, S-Benzoate coenzyme A
C06575, p-Cymene
C06576, p-Cumic alcohol
C06577, 4-Isopropylbenzaldehyde
C06578, p-Cumate
C02504, alpha-Isopropylmalate
C04411, 2R,3S-3-Isopropylmalate
C05539, N-Acetyl-L-2-amino-6-oxopimelate
C04390, N6-Acetyl-LL-2,6-diaminoheptanedioate
C03871, L-2-Amino-6-oxoheptanedioate
C00192, Hydroxylamine
C00088, Nitrite
C00244, Nitrate
C00533, Nitric oxide
C00887, Nitrous oxide
C00988, 2-Phosphoglycolate
C00160, Glycolate
C00027, Hydrogen peroxide
C01161, 3,4-Dihydroxyphenylacetate
C04642, 2-Hydroxy-5-carboxymethylmuconate semialdehyde
C04186, 5-Carboxymethyl-2-hydroxymuconate
C04052, 5-Carboxy-2-oxohept-3-enedioate
C05600, 2-Hydroxyhepta-2,4-dienedioate
C03063, 2-Oxohept-3-enedioate
C00829, Naphthalene
C04314, cis-1,2-Dihydronaphthalene-1,2-diol
C03012, Naphthalene-1,2-diol
C06204, 2-Hydroxychromene-2-carboxylate
C06203, trans-O-Hydroxybenzylidenepyruvate
C06202, Salicylaldehyde
C00805, Salicylate
C02612, R-2-Methylmalate
C02226, 2-Methylmaleate
C06032, D-erythro-3-Methylmalate
C06756, p-Xylene
C06757, 4-Methylbenzyl alcohol
C06758, p-Tolualdehyde
C01454, Toluate
C07212, o-Xylene
C07213, 2-Methylbenzyl alcohol
C07214, 2-Methylbenzaldehyde
C07215, o-Toluate
C07208, m-Xylene
C07216, 3-Methylbenzyl alcohol
C07209, 3-Methylbenzaldehyde
C07211, m-Methylbenzoate
C00556, Benzyl alcohol
C00261, Benzaldehyde
C00180, Benzoate
C06579, cis-2,3-Dihydroxy-2,3-dihydro-p-cumate
C06580, 2,3-Dihydroxy-p-cumate
C06581, 2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate
C06582, 2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate
C00596, 2-Hydroxy-2,4-pentadienoate
C02632, 2-Methylpropanoate
C09822, Cyclohexane-1-carboxylate
C09823, Cyclohexane-1-carboxyl-CoA
C09811, Cyclohex-1-ene-1-carboxyl-CoA
C09812, 2-Hydroxycyclohexane-1-carboxyl-CoA
C09813, 2-Ketocyclohexane-1-carboxyl-CoA
C01063, 6-Carboxyhexanoyl-CoA
C00512, Benzoyl-CoA
C06322, Cyclohexa-1,5-diene-1-carbonyl-CoA
C06749, 6-Hydroxycyclohex-1-ene-1-carbonyl-CoA
C09821, 6-Oxocyclohex-1-ene-1-carbonyl-CoA
C06714, 3-Hydroxypimeloyl-CoA
C06588, Biphenyl
C06589, cis-2,3-Dihydro-2,3-dihydroxybiphenyl
C02526, Biphenyl-2,3-diol
C01273, 2-Hydroxy-6-oxo-6-phenylhexa-2,4-dienoate
C06584, 4-Chlorobiphenyl
C06585, "cis-2,3-Dihydro-2,3-dihydroxy-4-chlorobiphenyl"
C06586, "2,3-Dihydroxy-4-chlorobiphenyl"
C06587, "2-Hydroxy-6-oxo-6-4-chlorophenyl-hexa-2,4-dienoate"
C02370, 4-Chlorobenzoate
C08060, Carbazole
C08061, "2-Aminobiphenyl-2,3-diol"
C08062, "2-Hydroxy-6-oxo-2-aminophenyl-hexa-2,4-dienoate"
C12622, cis-3-3-Carboxyethenyl-3,5-cyclohexadiene-1,2-diol
C12623, trans-2,3-Dihydroxycinnamate
C12621, trans-3-Hydroxycinnamate
C12624, 2-Hydroxy-6-ketononatrienedioate
C03589, 4-Hydroxy-2-oxopentanoate
C00084, Acetaldehyde
C01407, Benzene
C04091, cis-1,2-Dihydrobenzene-1,2-diol
C00090, Catechol
C04592, Toluene-cis-dihydrodiol
C02923, 2,3-Dihydroxytoluene
C00146, Phenol
C16186, L-Ascorbate 6-phosphate
C14899, 3-Dehydro-L-gulonate 6-phosphate
C03291, L-Xylulose 5-phosphate
C01101, L-Ribulose 5-phosphate
C06321, 1R,6S-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C06729, cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate
C06730, 4-Methylcatechol
C06731, 1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate
C06720, 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate
C01286, 2-Dehydro-3-deoxy-6-phospho-D-galactonate
C00576, Betaine aldehyde
C00719, Betaine
C00218, Methylamine
C00543, Dimethylamine
C00565, Trimethylamine
C01001, Formylmethanofuran
C01274, 5-Formyl-5,6,7,8-tetrahydromethanopterin
C04330, 5,10-Methenyltetrahydromethanopterin
C04377, 5,10-Methylenetetrahydromethanopterin
C02480, cis,cis-Muconate
C14610, S-5-Oxo-2,5-dihydrofuran-2-acetate
C03586, 2-Oxo-2,3-dihydrofuran-5-acetate
C00846, 3-Oxoadipate
C00682, 2-Hydroxymuconate semialdehyde
C02501, 2-Hydroxymuconate
C03453, gamma-Oxalocrotonate
C06760, 2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde
C07478, 2-Hydroxy-5-methyl-cis,cis-muconate
C07479, 2-Oxo-5-methyl-cis-muconate
C11354, 2-Hydroxy-cis-hex-2,4-dienoate
C06762, 4-Hydroxy-2-oxohexanoic acid
C00479, Propanal
C01209, Malonyl-[acp]
C19673, Malonyl-[acp] methyl ester
C20372, 3-Ketoglutaryl-[acp] methyl ester
C20373, 3-Hydroxyglutaryl-[acp] methyl ester
C20374, Enoylglutaryl-[acp] methyl ester
C20375, Glutaryl-[acp] methyl ester
C20376, 3-Ketopimeloyl-[acp] methyl ester
C20377, 3-Hydroxypimeloyl-[acp] methyl ester
C20378, Enoylpimeloyl-[acp] methyl ester
C19846, Pimelyl-[acp] methyl ester
C19845, Pimelyl-[acp]
C20683, Long-chain acyl-[acyl-carrier protein]
C02656, Pimelate
C00320, Thiosulfate
C22834, Protein-trisulfide
C16583, R-Homo2-citrate
C20581, cis-Homo2-aconitate
C16597, --threo-Isohomo2-citrate
C16588, 2-Oxopimelate
C16598, R-Homo3-citrate
C20582, cis-Homo3-aconitate
C16600, --threo-Isohomo3-citrate
C16589, 2-Oxosuberate
C03539, S-Ribosyl-L-homocysteine
C02051, [H-protein]-lipoyllysine
C01242, [H-protein]-S-aminomethyldihydrolipoyllysine
C02972, [H-protein]-dihydrolipoyllysine
C00253, Nicotinate
C01020, 6-Hydroxynicotinate
C01059, 2,5-Dihydroxypyridine
C18232, N-Formylmaleamic acid
C01596, Maleamate
C01384, Maleic acid
C01606, Phthalate
C04783, cis-4,5-Dihydroxycyclohexa-16,2-diene-1,2-dicarboxylate
C03233, 4,5-Dihydroxyphthalate
C00230, 3,4-Dihydroxybenzoate
C06337, Terephthalate
C06318, 3S,4R-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate
C15930, L-Galactonate
C20680, 2-Dehydro-3-deoxy-L-galactonate
C02426, L-Glyceraldehyde
C00558, D-Tagaturonate
C00817, D-Altronate
C18314, Phthalate 3,4-cis-dihydrodiol
C03223, 3,4-Dihydroxyphthalate
C00628, 2,5-Dihydroxybenzoate
C20525, 3-Geranylgeranylindole
C20526, 10,11-Epoxy-3-geranylgeranylindole
C20527, Emindole SB
C20529, 14,15-Epoxyemindole SB
C20530, Paspaline
C05556, delta-L-2-Aminoadipyl-L-cysteinyl-D-valine
C05557, Isopenicillin N
C00395, Penicillin
C06564, Penicillin N
C06565, Deacetoxycephalosporin C
C03112, Deacetylcephalosporin C
C06568, O-Carbamoyl-deacetylcephalosporin C
C06569, 7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C
C06566, Cephamycin C
C06655, L-N2-2-Carboxyethylarginine
C06656, Deoxyguanidinoproclavaminic acid
C06657, Guanidinoproclavaminic acid
C06658, Proclavaminic acid
C06659, Dihydroclavaminic acid
C06660, Clavaminic acid
C17366, 2S,5S-trans-Carboxymethylproline
C17367, 3S,5S-Carbapenam-3-carboxylic acid
C06669, 5R-Carbapen-2-em-3-carboxylate
C12323, L-4-Hydroxyphenylglycine
C17355, Nocardicin G
C17352, Isonocardicin C
C17351, Nocardicin C
C01941, Nocardicin A
C01739, Nocardicin E
C00927, Isonocardicin A
C05379, Oxalosuccinate
C03618, L-threo-3-Methylaspartate
C01732, Mesaconate
C16155, UDP-L-Ara4O
C16153, UDP-L-Ara4N
C16154, UDP-L-Ara4FN
C16156, Undecaprenyl phosphate alpha-L-Ara4FN
C16157, Undecaprenyl phosphate alpha-L-Ara4N
C20948, LysW-L-glutamate
C20949, LysW-L-glutamyl 5-phosphate
C20950, LysW-L-glutamate 5-semialdehyde
C20951, LysW-L-ornithine
C02557, Methylmalonyl-CoA
C12000, Tylactone
C12001, 5-O-beta-D-Mycaminosyltylactone
C20760, 20-Oxo-5-O-beta-mycaminosyltylactone
C12002, 5-O-beta-D-Mycaminosyltylonolide
C12003, Demethyllactenocin
C02400, Demethylmacrocin
C00744, Macrocin
C01457, Tylosin
C03240, 6-Deoxyerythronolide B
C06635, Erythronolide B
C06630, 3-O-alpha-Mycarosylerythronolide B
C06633, Erythromycin D
C06616, Erythromycin C
C01912, Erythromycin
C06653, Erythromycin B
C11989, 8,8a-Deoxyoleandolide
C11990, Oleandolide
C11991, L-Olivosyl-oleandolide
C11992, L-Oleandrosyl-oleandolide
C01946, Oleandomycin
C11997, Narbonolide
C11998, Narbomycin
C11999, Pikromycin
C11993, 10-Deoxymethynolide
C11994, 10-Deoxymethymycin
C11996, Methymycin
C01033, 2-Methylbutanoyl-CoA
C11977, "6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a aglycone"
C11978, "5-Oxoavermectin 1a aglycone"
C11979, Avermectin B1a aglycone
C11980, Avermectin A1a aglycone
C11982, Avermectin A1a monosaccharide
C11984, Avermectin A1a
C11981, Avermectin B1a monosaccharide
C11983, Avermectin B1a
C00630, 2-Methylpropanoyl-CoA
C11961, "6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1b aglycone"
C11962, "5-Oxoavermectin 1b aglycone"
C11963, Avermectin B1b aglycone
C11964, Avermectin A1b aglycone
C11966, Avermectin A1b monosaccharide
C11968, Avermectin A1b
C11965, Avermectin B1b monosaccharide
C11967, Avermectin B1b
C12348, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]
C18327, 7,9,12-Octaketide intermediate 1
C18328, 7,9,12-Octaketide intermediate 2
C18329, 7,9,12-Octaketide intermediate 3
C18353, Octaketide bicyclic intermediate
C21430, Malonamoyl-[acyl-carrier protein]
C12441, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp]
C12442, C-9 Reduced nonaketamide
C18293, Nonaketamide monocyclic intermediate
C18294, Nonaketamide tricyclic intermediate
C12354, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]
C18330, 7,9,12-Decaketide intermediate 1
C18331, 7,9,12-Decaketide intermediate 2
C18332, 7,9,12-Decaketide intermediate 3
C18629, Deoxynogalonate
C18336, 7,12-Decaketide intermediate 1
C18709, Decaketide tricyclic intermediate
C18337, 9,14-Decaketide intermediate 1
C18354, S-Chiral alcohol
C18356, S-Hemiketal
C12434, S-DNPA
C12435, 6-Deoxydihydrokalafungin
C12436, Dihydrokalafungin
C18295, Pretetramid
C06629, 6-Methylpretetramide
C06628, 4-Hydroxy-6-methylpretetramide
C06627, 4-Keto-anhydrotetracycline
C06654, 4-Amino-anhydrotetracycline
C02811, Anhydrotetracycline
C03206, 5a,11a-Dehydrotetracycline
C06570, Tetracycline
C18296, 5a,11a-Dehydrooxytetracycline
C06624, Oxytetracycline
C12416, Nogalonate
C12415, Methyl nogalonate
C18630, Nogalaviketone
C18631, Nogalavinone
C12420, 12-Deoxyaklanonic acid
C12421, Aklanonate
C12422, Methyl aklanonate
C12423, Aklaviketone
C12424, Aklavinone
C12382, 4-Demethylpremithramycinone
C12383, Premithramycinone
C12384, Premithramycin A1
C12385, "Premithramycin A2"
C12386, "Premithramycin A3"
C12387, Premithramycin A3
C18710, 3A-Deolivosylpremithramycin B
C12388, Premithramycin B
C18711, Mithramycin DK
C12389, Mithramycin
C12366, Tetracenomycin F2
C12367, Tetracenomycin F1
C12368, Tetracenomycin D3
C12369, Tetracenomycin B3
C12378, Tetracenomycin B2
C12379, 8-Demethyltetracenomycin C
C12370, Tetracenomycin E
C12371, Tetracenomycin A2
C06801, Tetracenomycin C
C20974, 8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C
C20975, 8-Demethyl-8-2-O-methyl-alpha-L-rhamnosyltetracenomycin C
C20976, 8-Demethyl-8-2,3-di-O-methyl-alpha-L-rhamnosyltetracenomycin C
C20977, 8-Demethyl-8-2,3,4-tri-O-methyl-alpha-L-rhamnosyltetracenomycin C
C12381, Elloramycin A
C05933, Nomega-Hydroxyarginine
C07044, Hydroxyurea
C20639, O-Ureido-L-serine
C20651, O-Ureido-D-serine
C08057, Cycloserine
C20563, Brevianamide F
C20512, Tryprostatin B
C20513, 6-Hydroxytryprostatin B
C20607, Tryprostatin A
C20604, Fumitremorgin C
C20605, 12alpha,13alpha-Dihydroxyfumitremorgin C
C20630, Fumitremorgin B
C20045, Verruculogen
C20564, Fumitremorgin A
C20953, 3-[4R-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
C21085, 3-[1E,4R-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate
C21086, Epoxy-3E-H2HPP
C21087, Epoxy-4S-H4HPP
C20940, L-Dihydroanticapsin
C20941, L-Anticapsin
C20942, Bacilysin
C19815, Terpentedienyl diphosphate
C19814, Terpentetriene
C21093, Terpentecin
C19687, 7-Chloro-L-tryptophan
C19688, 2-Imino-3-7-chloroindol-3-ylpropanoate
C19698, 3,4-Bis7-chloroindol-3-ylpyrrole-2,5-dicarboxylate
C19699, Dichloroarcyriaflavin A
C19700, "4-O-Demethylrebeccamycin"
C19701, Rebeccamycin
C21110, Monodechloroaminopyrrolnitrin
C21109, Aminopyrrolnitrin
C12491, Pyrrolnitrin
C00842, dTDP-glucose
C11907, dTDP-4-oxo-6-deoxy-D-glucose
C00688, dTDP-4-dehydro-beta-L-rhamnose
C03319, dTDP-L-rhamnose
C11926, dTDP-4-oxo-6-deoxy-D-allose
C11912, dTDP-6-deoxy-D-allose
C11460, dTDP-4-oxo-5-C-methyl-L-rhamnose
C12481, dTDP-5-dimethyl-L-lyxose
C11908, 3,6-Dideoxy-3-oxo-dTDP-D-glucose
C11925, dTDP-3-amino-3,6-dideoxy-D-glucose
C11933, dTDP-D-mycaminose
C04268, dTDP-4-amino-4,6-dideoxy-D-glucose
C11909, dTDP-3-oxo-4,6-dideoxy-D-glucose
C11910, dTDP-3-amino-3,4,6-trideoxy-D-glucose
C11911, dTDP-D-desosamine
C06620, dTDP-3,4-dioxo-2,6-dideoxy-D-glucose
C11928, dTDP-4-oxo-2,6-dideoxy-D-allose
C18035, dTDP-3-methyl-4-oxo-2,6-dideoxy-D-glucose
C11915, dTDP-3-methyl-4-oxo-2,6-dideoxy-L-allose
C11916, dTDP-L-mycarose
C11927, dTDP-4-oxo-2,6-dideoxy-L-mannose
C21071, dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose
C11921, dTDP-L-oleandrose
C12318, dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose
C21073, dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose
C21074, dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose
C11919, dTDP-L-megosamine
C11922, dTDP-4-oxo-2,6-dideoxy-D-glucose
C11920, dTDP-L-olivose
C18032, dTDP-4-oxo-2,3,6-trideoxy-D-glucose
C18033, dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose
C18034, dTDP-D-forosamine
C18029, dTDP-3-oxo-2,6-dideoxy-D-glucose
C18030, dTDP-2,6-dideoxy-D-kanosamine
C18031, dTDP-D-angolosamine
C21124, IPA imine
C21125, Chromopyrrolate
C21126, K-252c
C21127, Holyrine A
C21128, O-Demethyl-N-demethyl-staurosporine
C07349, "3-Demethylstaurosporine"
C02079, Staurosporine
C21131, Protodeoxyviolaceinic acid
C21134, Protoviolaceinic acid
C21135, Violaceinic acid
C21136, Violacein
C00745, S-Nicotine
C16386, R-Nicotine
C01056, S-6-Hydroxynicotine
C21075, 5-N-Methyl-4,5-dihydro-1H-pyrrol-2-ylpyridin-2-ol
C03043, R-6-Hydroxynicotine
C01297, 6-Hydroxypseudooxynicotine
C15986, 2,6-Dihydroxypseudooxynicotine
C03056, 2,6-Dihydroxypyridine
C15987, 4-Methylaminobutyrate
C20956, alpha-D-Sedoheptulopyranose 7-phosphate
C17691, 2-epi-5-epi-Valiolone
C17692, 2-epi-5-epi-Valiolone 7-phosphate
C17693, 5-epi-Valiolone 7-phosphate
C21204, 5-epi-Valiolol 7-phosphate
C21205, 1-epi-Valienol 7-phosphate
C21206, 1,7-diphospho-1-epi-valienol
C21207, NDP-1-epi-valienol 7-phosphate
C21208, dTDP-acarviose-7-phosphate
C21156, Acarbose 7IV-phosphate
C06802, Acarbose
C17694, 5-epi-Valiolone
C17696, Valienone
C17697, Valienone 7-phosphate
C21218, Validone 7-phosphate
C21216, Validamine 7-phosphate
C21368, GDP-valienol
C21219, "Validoxylamine A 7-phosphate"
C17700, Validoxylamine A
C12112, Validamycin A
C01841, Pentalenene
C19939, Pentalen-13-al
C20404, 1-Deoxypentalenate
C20403, 1-Deoxy-11beta-hydroxypentalenate
C20400, 1-Deoxy-11-oxopentalenate
C20399, Pentalenolactone D
C20397, Pentalenolactone F
C20407, Pentalenolactone
C06571, Chlortetracycline
C18054, 2-Amino-2-deoxyisochorismate
C19686, 3-1-Carboxyvinyloxyanthranilate
C21306, 3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C21307, 3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C11468, 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylic acid
C11448, 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-CoA
C21308, S-beta-Tyrosine
C21309, S-beta-Tyrosyl-[pcp]
C20810, S-3-Chloro-beta-tyrosyl-[pcp]
C11449, S-3-Chloro-4,5-dihydroxy-beta-phenylalanyl-[pcp]
C21311, 3-4-Hydroxyphenyl-3-oxopropanoyl-[pcp]
C02657, 6-Methylsalicylate
C21312, 6-Methylsalicylyl-CoA
C21313, 3,6-Dimethylsalicylyl-CoA
C20856, 2-Hydroxy-5-methyl-1-naphthoate
C20857, 2,7-Dihydroxy-5-methyl-1-naphthoate
C20841, 2-Hydroxy-7-methoxy-5-methyl-1-naphthoate
C20842, 2-Hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA
C21320, 3,6,8-Trihydroxy-2-naphthoate
C21321, 3,6,7,8-Tetrahydroxy-2-naphthoate
C21322, 3-Hydroxy-6,7,8-trimethoxy-2-naphthoate
C21323, 3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoate
C21324, 3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA
C21325, Azatyrosine
C21326, R-2-Aza-beta-tyrosine
C21327, R-2-Aza-beta-tyrosyl-[pcp]
C21328, R-2-Aza-3-chloro-beta-tyrosyl-[pcp]
C21343, Orsellinate-[acp]
C21344, 2-Methoxyorsellinate-[acp]
C21345, 5-Iodo-2-methoxyorsellinate-[acp]
C21346, 3-Hydroxy-5-iodo-2-methoxyorsellinate-[acp]
C21347, 5-Iodo-2,3-dimethoxyorsellinate-[acp]
C21337, Calicheamicinone
C21338, Calicheamicin T0
C21339, 4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0
C21340, Calicheamicin PsAg
C21341, Calicheamicin alpha1I
C11469, Calicheamicin gamma1I
C21342, Calicheamicin alpha3I
C19830, 5S,6S-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate
C19831, 1R,6S-6-Amino-5-oxocyclohex-2-ene-1-carboxylate
C21473, 1R,5aS,6R-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate
C21408, 1R,6R-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate
C21411, 1R,10aS-1,4,10,10a-Tetrahydrophenazine-1-carboxylate
C21412, 10aS-10,10a-Dihydrophenazine-1-carboxylate
C20981, 5,10-Dihydrophenazine-1-carboxylate
C21442, Phenazine-1-carboxylate
C21295, 5-Methylphenazine-1-carboxylate
C01748, Pyocyanine
C05778, Sirohydrochlorin
C21510, Nickel-sirohydrochlorin
C21511, Nickel-sirohydrochlorin a,c-diamide
C21512, 15,173-Seco-F430-173-acid
C05777, Coenzyme F430
C12470, L-Prolyl-[pcp]
C12483, Pyrrole-2-carbonyl-[pcp]
C21567, Pyrrolyl-2-carboxyl-S-[acyl-carrier protein]
C21568, "4-Hydroxy-2,2-bipyrrole-5-methanol"
C21569, "4-Hydroxy-2,2-bipyrrole-5-carbaldehyde"
C21570, "4-Methoxy-2,2-bipyrrole-5-carbaldehyde"
C21138, trans-2-Octenal
C21139, S-3-Acetyloctanal
C21571, 2-Methyl-3-n-amyl-dihydropyrrole
C21572, 2-Methyl-3-n-amyl-pyrrole
C21565, Prodigiosin
C02679, Dodecanoic acid
C21573, 4-Keto-2-undecylpyrroline
C21574, 2-Undecylpyrrole
C12023, Undecylprodigiosin
C01304, 2,5-Diamino-6-5-phospho-D-ribosylaminopyrimidin-43H-one
C03684, 6-Pyruvoyltetrahydropterin
C00272, Tetrahydrobiopterin
C20264, L-threo-Tetrahydrobiopterin
C15532, N-Acetyl-L-citrulline
C02463, Precorrin 2
C00748, Siroheme
C21835, 12,18-Didecarboxysiroheme
C21284, Fe-coproporphyrin III
